internship_title,internship_company,required_skills,internship_location,required_education
Retail Manager,BRITANNIA INDUSTRIES LTD,"Marketing, Brand Management, Retail Management, Product Development",Mumbai,B.Tech
Data Analyst,SBI FUNDS MANAGEMENT LIMITED,"DevOps, Machine Learning",Bangalore,M.Sc
Machine Learning Engineer,SOBHA LIMITED,"JavaScript, SQL",Pune,MBA
IT Support,AMERICAN EXPRESS(INDIA) PRIVATE LIMITED,"Python, React",Ahmedabad,PhD
QA Engineer,STAR INDIA PRIVATE LIMITED,"React, Cloud Computing, Data Analysis, Cybersecurity",Mumbai,MBA
Civil Engineer,HEIDELBERGCEMENT INDIA LIMITED.,"Estimation, Project Management, Quality Control, Safety Management",Ahmedabad,B.Tech
Quality Inspector,AARTI INDUSTRIES LTD,"Structural Design, Project Management, Estimation",Mumbai,BCA
QA Engineer,HCL TECHNOLOGIES LIMITED,"Cloud Computing, JavaScript",Bangalore,M.Sc
IT Support,VENCO RESEARCH AND BREEDING FARM PRIVATE LIMITED,"JavaScript, Cybersecurity, Python, Machine Learning",Delhi,B.Sc
Design Engineer,L G ELECTRONICS INDIA PRIVATE LIMITED,"Manufacturing, R&D, Electronics Design",Kolkata,BBA
Civil Engineer,ASHOKA BUILDCON LIMITED,"Quality Control, Safety Management",Mumbai,B.Sc
Credit Analyst,THE FEDERAL BANK LTD,"Investment Banking, Financial Modeling",Mumbai,BBA
Production Engineer,BHARAT DYNAMICS LIMITED,"Manufacturing, Quality Control",Pune,M.Sc
Quality Engineer,APPLE INDIA PRIVATE LIMITED,"Circuit Design, Manufacturing",Ahmedabad,B.Sc
Quality Inspector,SHREE RAMKRISHNA EXPORTS PRIVATE LIMITED,"Civil Engineering, Construction Management, Structural Design",Ahmedabad,B.Tech
Sales Executive,BHARAT BIOTECH INTERNATIONAL LIMITED,"Sales, Retail Management",Chennai,B.Sc
Quality Inspector,THE SUPREME INDUSTRIES LIMITED,"Civil Engineering, Construction Management, Safety Management, Structural Design",Pune,BBA
Distribution Executive,AVENUE SUPERMARTS LIMITED,"Brand Management, Supply Chain, Sales",Ahmedabad,B.Sc
Data Analyst,SUNDARAM FINANCE LIMITED,"Python, DevOps, Machine Learning, JavaScript",Delhi,PhD
Cloud Architect,CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,"React, Java, Python, Cloud Computing",Mumbai,B.Com
Risk Analyst,EQUITAS SMALL FINANCE BANK LIMITED,"Investment Banking, Wealth Management, Auditing, Financial Analysis",Lucknow,BCA
Credit Analyst,EQUITAS SMALL FINANCE BANK LIMITED,"Risk Management, Auditing",Hyderabad,BA
Data Analyst,VODAFONE IDEA LIMITED,"IoT, Wireless Communication, 5G Technology",Kolkata,B.Sc
QA Engineer,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,"Cloud Computing, JavaScript, Python",Jaipur,PhD
Retail Manager,GILLETTE INDIA LIMITED,"Consumer Insights, Distribution, Marketing, Retail Management",Chennai,BCA
Machine Learning Engineer,ADITYA BIRLA FINANCE LIMITED,"Cybersecurity, DevOps, JavaScript, Cloud Computing",Mumbai,B.Tech
Consumer Insights Analyst,YASHODA HEALTHCARE SERVICES PRIVATE LIMITED,"Consumer Insights, Product Development, Supply Chain, Distribution",Bangalore,MBA
QA Engineer,HDB FINANCIAL SERVICES LIMITED,"Java, Python, Machine Learning, Cybersecurity",Kolkata,B.Sc
Ore Processing Technician,NMDC LIMITED,"Safety Management, Mineral Processing",Kolkata,Diploma
Data Analyst,BAJAJ HOUSING FINANCE LIMITED,"DevOps, Python, Java, Data Analysis",Jaipur,B.Tech
Structural Engineer,HEIDELBERGCEMENT INDIA LIMITED.,"Quality Control, Safety Management, Structural Design",Ahmedabad,BCA
Data Analyst,SAMMAAN CAPITAL LIMITED,"Cybersecurity, Data Analysis",Lucknow,PhD
Exploration Geologist,RUNGTA MINES LIMITED,"Surveying, Mining Engineering",Bangalore,BBA
Data Analyst,INTEL TECHNOLOGY INDIA PRIVATE LIMITED,"Java, Data Analysis, SQL, Machine Learning",Bangalore,M.Sc
Construction Manager,MSPL LIMITED,"Construction Management, Project Management, Safety Management, Civil Engineering",Pune,Diploma
RF Engineer,BHARTI TELEMEDIA LIMITED,"5G Technology, Network Engineering, IoT",Jaipur,B.Tech
Mineral Processing Engineer,MAHANADI COALFIELDS LIMITED,"Safety Management, Mineral Processing, Environmental Compliance",Ahmedabad,BA
DevOps Engineer,BARCLAYS GLOBAL SERVICE CENTRE PRIVATE LIMITED,"Machine Learning, JavaScript, Cloud Computing, Python",Lucknow,Diploma
IT Support,EBIXCASH LIMITED,"Data Analysis, DevOps, JavaScript",Pune,PhD
Surveyor,D P F TEXTILES PRIVATE LIMITED,"Structural Design, Project Management, Safety Management",Bangalore,B.Sc
Exploration Geologist,HINDALCO INDUSTRIES LIMITED,"Safety Management, Exploration, Environmental Compliance, Surveying",Hyderabad,MBA
Machine Learning Engineer,INDIAN RAILWAY FINANCE CORPORATION LIMITED,"Cybersecurity, JavaScript, Python, SQL",Bangalore,B.Sc
Construction Manager,MODERN ROAD MAKERS P LTD,"Construction Management, Quality Control, Surveying",Chennai,Diploma
DevOps Engineer,DELOITTE CONSULTING INDIA PRIVATE LIMITED,"Java, Python, JavaScript, Machine Learning",Mumbai,B.Com
Thermal Engineer,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,"Transmission, Electrical Engineering",Mumbai,Diploma
Ore Processing Technician,STEEL AUTHORITY OF INDIA LIMITED,"Surveying, Exploration",Lucknow,M.Sc
Machine Learning Engineer,PIRAMAL CAPITAL & HOUSING FINANCE LIMITED,"React, SQL",Bangalore,BCA
Brand Manager,SUN PHARMACEUTICAL INDUSTRIES LIMITED,"Brand Management, Consumer Insights, Product Development",Lucknow,M.Sc
Financial Analyst,SBI LIFE INSURANCE COMPANY LIMITED,"Risk Management, Auditing",Remote,PhD
Distribution Executive,EVEREST FOOD PRODUCTS PRIVATE LIMITED,"Marketing, Product Development, Distribution, Consumer Insights",Jaipur,MBA
Software Developer,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,"SQL, Java, Cybersecurity, React",Kolkata,BA
Surveyor,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LIMITED,"Safety Management, Surveying, Construction Management",Pune,BA
Supply Chain Analyst,UNITED SPIRITS LIMITED,"Consumer Insights, Brand Management",Jaipur,B.Tech
QA Engineer,KOTAK SECURITIES LIMITED,"Java, SQL, Cybersecurity, Python",Mumbai,B.Tech
IT Support,KIRAN GEMS PRIVATE LIMITED,"DevOps, Data Analysis, Cloud Computing, Java",Jaipur,BA
Thermal Engineer,ARAVALI POWER COMPANY PRIVATE LIMITED,"Energy Efficiency, Thermal Power, Grid Management",Jaipur,BCA
Surveyor,ASHOKA BUILDCON LIMITED,"Safety Management, Surveying",Mumbai,B.Com
QA Engineer,BARCLAYS GLOBAL SERVICE CENTRE PRIVATE LIMITED,"React, DevOps, Cybersecurity",Chennai,B.Com
Brand Manager,PATANJALI AYURVED LIMITED,"Supply Chain, Marketing, Distribution",Kolkata,M.Sc
Web Developer,TOYOTA KIRLOSKAR MOTOR PRIVATE LIMITED,"Data Analysis, React, JavaScript",Hyderabad,BCA
Brand Manager,MAHASHIAN DI HATTI PRIVATE LIMITED,"Marketing, Product Development",Kolkata,PhD
Renewable Energy Specialist,ADANI TRANSMISSION (INDIA) LIMITED,"Grid Management, Maintenance, Electrical Engineering, Power Plant Operations",Jaipur,BBA
Data Analyst,FRANKLIN TEMPLETON ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,"JavaScript, React",Hyderabad,BA
Accountant,EQUITAS SMALL FINANCE BANK LIMITED,"Wealth Management, Accounting",Remote,B.Sc
Cloud Architect,SBI FUNDS MANAGEMENT LIMITED,"React, DevOps",Kolkata,BBA
Marketing Executive,GODREJ CONSUMER PRODUCTS LIMITED,"Distribution, Product Development, Sales, Marketing",Bangalore,BA
Marketing Executive,GLENMARK PHARMACEUTICALS LIMITED,"Product Development, Distribution, Marketing, Retail Management",Delhi,B.Tech
Machine Learning Engineer,PIRAMAL CAPITAL & HOUSING FINANCE LIMITED,"React, SQL",Bangalore,BCA
Data Analyst,BALRAMPUR CHINI MILLS LTD,"SQL, Cloud Computing",Remote,BBA
Structural Engineer,BHANSALI ENGINEERING POLYMERS LIMITED,"Estimation, Quality Control, Project Management, Surveying",Hyderabad,B.Com
Maintenance Engineer,TORRENT POWER LIMITED,"Electrical Engineering, Grid Management",Lucknow,B.Sc
Product Manager,SUVEN PHARMACEUTICALS LIMITED,"Distribution, Retail Management, Sales",Lucknow,PhD
Customer Support Engineer,INDUS TOWERS LIMITED,"Data Transmission, Wireless Communication",Kolkata,MBA
Supply Chain Analyst,MICRO LABS LIMITED,"Supply Chain, Product Development, Retail Management",Hyderabad,Diploma
Distribution Executive,EMCURE PHARMACEUTICALS LIMITED,"Marketing, Product Development",Ahmedabad,BA
IT Support,BAJAJ FINANCE LIMITED,"Data Analysis, Machine Learning, JavaScript",Lucknow,BA
DevOps Engineer,SOCIETE GENERALE SECURITIES INDIA PRIVATE LIMITED,"Java, Python, React",Delhi,MBA
Customer Support Engineer,TATA COMMUNICATIONS LIMITED,"Wireless Communication, RF Engineering",Chennai,B.Com
Data Analyst,WNS GLOBAL SERVICES PRIVATE LIMITED,"Python, React, Java",Hyderabad,B.Com
Mining Engineer,BHARAT ALUMINIUM CO LTD,"Ore Processing, Mining Engineering, Mineral Processing, Safety Management",Bangalore,PhD
Surveyor,BIRLA CARBON INDIA PRIVATE LIMITED,"Estimation, Safety Management",Mumbai,PhD
Renewable Energy Specialist,KARNATAKA POWER TRANSMISSION CORPORATION LIMITED,"Energy Efficiency, Renewable Energy, Power Plant Operations",Lucknow,BCA
Product Manager,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,"Retail Management, Brand Management, Consumer Insights, Supply Chain",Lucknow,PhD
Production Engineer,BHARAT DYNAMICS LIMITED,"Manufacturing, Quality Control",Pune,M.Sc
Web Developer,CITIGROUP GLOBAL MARKETS INDIA PRIVATE LIMITED,"Cybersecurity, DevOps, Machine Learning, Data Analysis",Lucknow,BCA
Machine Learning Engineer,KIRAN GEMS PRIVATE LIMITED,"JavaScript, Java, Python",Kolkata,BA
Web Developer,DXC TECHNOLOGY INDIA PRIVATE LIMITED,"Python, Cybersecurity, Java, DevOps",Jaipur,Diploma
Project Engineer,AMBUJA CEMENTS LIMITED,"Safety Management, Project Management",Chennai,BCA
Freight Coordinator,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,"Distribution, Inventory Management, Warehouse Operations",Hyderabad,M.Sc
Mining Engineer,HINDUSTAN ZINC LIMITED,"Mining Engineering, Surveying",Chennai,BBA
Environmental Officer,PRAKASH INDUSTRIES LIMITED,"Ore Processing, Safety Management",Bangalore,MBA
Web Developer,FIDELITY BUSINESS SERVICES INDIA PRIVATE LIMITED,"JavaScript, Python, SQL",Mumbai,PhD
Distribution Executive,PROCTER & GAMBLE HOME PRODUCTS PRIVATE LIMITED,"Brand Management, Marketing, Product Development, Distribution",Bangalore,MBA
Geologist,GUJARAT STATE PETRONET LIMITED,"Reservoir Engineering, Pipeline Maintenance, Petroleum Engineering",Remote,B.Com
Quality Inspector,THE SUPREME INDUSTRIES LIMITED,"Civil Engineering, Construction Management, Safety Management, Structural Design",Pune,BBA
Machine Learning Engineer,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,"Data Analysis, Machine Learning, React",Mumbai,BBA
Relationship Manager,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,"Wealth Management, Accounting",Pune,MBA
Thermal Engineer,NTPC LIMITED,"Renewable Energy, Power Plant Operations",Bangalore,B.Sc
Civil Engineer,SHREE RAMKRISHNA EXPORTS PRIVATE LIMITED,"Project Management, Structural Design, Safety Management",Bangalore,BA
Distribution Executive,AUROBINDO PHARMA LTD,"Consumer Insights, Product Development, Retail Management",Ahmedabad,BBA
Cloud Architect,BAJAJ AUTO LIMITED.,"Cybersecurity, JavaScript, SQL, Cloud Computing",Hyderabad,BBA
IT Support,NOVATEUR ELECTRICAL & DIGITAL SYSTEMS PRIVATE LIMITED,"Cloud Computing, Machine Learning",Kolkata,B.Tech
Geologist,INOX AIR PRODUCTS PRIVATE LIMITED,"Refining, Reservoir Engineering",Ahmedabad,M.Sc
QA Engineer,POLYCAB INDIA LIMITED,"SQL, Cybersecurity, DevOps",Remote,Diploma
Sales Executive,PATANJALI FOODS LIMITED,"Retail Management, Brand Management, Supply Chain",Pune,BBA
Cloud Architect,KARNAVATI AVIATION PRIVATE LIMITED,"Machine Learning, Cybersecurity, React",Mumbai,PhD
Supply Chain Analyst,CIPLA LIMITED,"Brand Management, Distribution, Product Development",Remote,M.Sc
Financial Analyst,MAX LIFE INSURANCE COMPANY LIMITED,"Taxation, Auditing, Investment Banking, Financial Modeling",Chennai,BBA
Maintenance Engineer,NUCLEAR POWER CORPORATION OF INDIA LIMITED,"Electrical Engineering, Transmission, Grid Management, Maintenance",Remote,MBA
Design Engineer,ADANI POWER LIMITED,"Transmission, Maintenance",Mumbai,BCA
Risk Analyst,AU SMALL FINANCE BANK LIMITED,"Financial Analysis, Wealth Management",Bangalore,M.Sc
Supply Chain Analyst,UNITED SPIRITS LIMITED,"Consumer Insights, Brand Management",Jaipur,B.Tech
IT Support,KITEX CHILDRENSWEAR LIMITED,"React, DevOps, Java, JavaScript",Hyderabad,BA
Safety Officer,HPCL-MITTAL ENERGY LIMITED,"Refining, Safety Compliance, Geology, Petroleum Engineering",Ahmedabad,MBA
IT Support,SOBHA LIMITED,"Cloud Computing, Cybersecurity",Bangalore,B.Com
Quality Inspector,TAMILNADU POWER FINANCE AND INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,"Safety Management, Civil Engineering",Mumbai,BBA
Construction Manager,THE SUPREME INDUSTRIES LIMITED,"Surveying, Estimation, Project Management",Chennai,BCA
RF Engineer,BHARTI TELEMEDIA LIMITED,"5G Technology, Network Engineering, IoT",Jaipur,B.Tech
Data Analyst,WELLS FARGO INTERNATIONAL SOLUTIONS PRIVATE LIMITED,"Cloud Computing, Java",Lucknow,B.Com
Reservoir Engineer,BHARAT PETROLEUM CORPORATION LIMITED,"Refining, Reservoir Engineering, Geology, Safety Compliance",Pune,PhD
IT Support,ACCENTURE SOLUTIONS PRIVATE LIMITED,"Data Analysis, Java",Pune,BA
Loan Officer,IDFC FIRST BANK LIMITED,"Taxation, Wealth Management",Hyderabad,B.Tech
IT Support,VENCO RESEARCH AND BREEDING FARM PRIVATE LIMITED,"JavaScript, Cybersecurity, Python, Machine Learning",Delhi,B.Sc
Data Analyst,BALRAMPUR CHINI MILLS LTD,"SQL, Cloud Computing",Remote,BBA
Mining Engineer,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,"Exploration, Mineral Processing",Jaipur,BCA
Thermal Engineer,NTPC LIMITED,"Renewable Energy, Power Plant Operations",Bangalore,B.Sc
Construction Manager,YARROW INFRASTRUCTURE PRIVATE LIMITED,"Structural Design, Civil Engineering",Remote,PhD
IT Support,CAN FIN HOMES LIMITED,"JavaScript, SQL, Java",Remote,PhD
Freight Coordinator,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,"Distribution, Inventory Management, Warehouse Operations",Hyderabad,M.Sc
Product Manager,ADANI WILMAR LIMITED,"Supply Chain, Marketing, Distribution, Brand Management",Kolkata,B.Tech
Software Developer,CUMMINS INDIA LIMITED,"Cloud Computing, Data Analysis",Ahmedabad,PhD
Sales Executive,DABUR INDIA LIMITED,"Distribution, Consumer Insights, Product Development",Remote,B.Tech
Data Analyst,YARDI SOFTWARE INDIA PRIVATE LIMITED,"Java, React, DevOps, Cloud Computing",Mumbai,B.Com
DevOps Engineer,YARDI SOFTWARE INDIA PRIVATE LIMITED,"Cybersecurity, Machine Learning",Delhi,B.Tech
DevOps Engineer,RELIANCE INDUSTRIES LIMITED,"Cloud Computing, Python, React, Machine Learning",Jaipur,B.Com
Structural Engineer,FINOLEX INDUSTRIES LIMITED,"Construction Management, Estimation",Ahmedabad,MBA
Data Analyst,INTEL TECHNOLOGY INDIA PRIVATE LIMITED,"Java, Data Analysis, SQL, Machine Learning",Bangalore,M.Sc
Ore Processing Technician,THRIVENI EARTHMOVERS PRIVATE LIMITED,"Mining Engineering, Safety Management",Bangalore,B.Com
QA Engineer,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,"Python, Cloud Computing, SQL, React",Kolkata,B.Tech
Surveyor,CATERPILLAR INDIA PRIVATE LIMITED,"Quality Control, Civil Engineering, Surveying, Estimation",Kolkata,BA
Power Plant Operator,NTPC LIMITED,"Electrical Engineering, Grid Management, Transmission",Lucknow,PhD
Ore Processing Technician,ORISSA METALIKS PRIVATE LIMITED,"Ore Processing, Geology",Hyderabad,B.Com
Cloud Architect,SBI FUNDS MANAGEMENT LIMITED,"React, DevOps",Kolkata,BBA
Reservoir Engineer,HPCL-MITTAL ENERGY LIMITED,"Geology, Pipeline Maintenance, Reservoir Engineering",Chennai,MBA
Environmental Officer,NORTHERN COALFIELDS LIMITED,"Exploration, Geology, Surveying, Safety Management",Chennai,MBA
Geologist,BHUSHAN POWER & STEEL LIMITED,"Mining Engineering, Geology, Environmental Compliance",Bangalore,BA
Mining Engineer,IREL (INDIA) LIMITED,"Exploration, Mineral Processing, Environmental Compliance, Ore Processing",Chennai,BA
Construction Manager,DEEPAK NITRITE LIMITED,"Construction Management, Estimation",Mumbai,Diploma
Software Developer,SUPER CASSETTES INDUSTRIES PRIVATE LIMITED,"Data Analysis, Cloud Computing, Java",Delhi,M.Sc
Distribution Manager,SIKKA PORTS & TERMINALS LIMITED,"Warehouse Operations, Logistics Planning, Transportation, Inventory Management",Bangalore,BA
Web Developer,KOTAK MAHINDRA PRIME LIMITED,"Python, Machine Learning, Cloud Computing",Delhi,BCA
Software Developer,MUTHOOT FINANCE LIMITED,"Data Analysis, Cybersecurity, Java, Python",Ahmedabad,M.Sc
Ore Processing Technician,MAHANADI COALFIELDS LIMITED,"Exploration, Mineral Processing, Geology",Chennai,Diploma
Supply Chain Analyst,RELIANCE RETAIL VENTURES LIMITED,"Supply Chain, Consumer Insights, Sales, Retail Management",Jaipur,M.Sc
Power Plant Operator,MAHARASHTRA EASTERN GRID POWER TRANSMISSION COMPANY LIMITED,"Renewable Energy, Thermal Power",Delhi,Diploma
Renewable Energy Specialist,TATA POWER DELHI DISTRIBUTION LIMITED,"Renewable Energy, Maintenance, Electrical Engineering, Grid Management",Kolkata,PhD
Risk Analyst,EQUITAS SMALL FINANCE BANK LIMITED,"Investment Banking, Wealth Management, Auditing, Financial Analysis",Lucknow,BCA
Web Developer,INTERNATIONAL TRACTORS LIMITED,"DevOps, React, SQL, Data Analysis",Chennai,BA
IT Support,HSBC ELECTRONIC DATA PROCESSING INDIA PRIVATE LIMITED,"Machine Learning, React, Python, DevOps",Chennai,BCA
Accountant,CITY UNION BANK LIMITED,"Risk Management, Investment Banking, Taxation",Jaipur,B.Tech
Site Engineer,HEIDELBERGCEMENT INDIA LIMITED.,"Quality Control, Safety Management, Structural Design, Project Management",Hyderabad,PhD
Geologist,NAYARA ENERGY LIMITED,"Geology, Reservoir Engineering, Refining, Petroleum Engineering",Hyderabad,Diploma
Data Analyst,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,"DevOps, Cybersecurity",Remote,MBA
IT Support,GENPACT INDIA PRIVATE LIMITED,"Machine Learning, SQL",Bangalore,B.Sc
Machine Learning Engineer,STAR INDIA PRIVATE LIMITED,"Cybersecurity, React",Mumbai,BA
Civil Engineer,GUJARAT FLUOROCHEMICALS LIMITED,"Estimation, Construction Management, Safety Management",Ahmedabad,BBA
Data Analyst,BALRAMPUR CHINI MILLS LTD,"DevOps, React, SQL",Remote,BA
Supply Chain Analyst,GRANULES INDIA LIMITED,"Marketing, Supply Chain",Jaipur,M.Sc
Sales Executive,ITC LIMITED,"Product Development, Retail Management",Mumbai,BCA
Supply Chain Analyst,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,"Marketing, Brand Management",Ahmedabad,MBA
Civil Engineer,GUJARAT FLUOROCHEMICALS LIMITED,"Estimation, Construction Management, Safety Management",Ahmedabad,BBA
Mineral Processing Engineer,NLC INDIA LIMITED,"Geology, Environmental Compliance, Mining Engineering",Delhi,BA
Design Engineer,THDC INDIA LIMITED,"Maintenance, Thermal Power, Power Plant Operations",Pune,BBA
QA Engineer,GOOGLE IT SERVICES INDIA PRIVATE LIMITED,"Machine Learning, Java, DevOps",Kolkata,B.Com
QA Engineer,ZEE ENTERTAINMENT ENTERPRISES LIMITED,"Java, Cloud Computing, React",Remote,Diploma
Exploration Geologist,STEEL AUTHORITY OF INDIA LIMITED,"Exploration, Environmental Compliance, Mineral Processing",Hyderabad,Diploma
Web Developer,CITIGROUP GLOBAL MARKETS INDIA PRIVATE LIMITED,"Cybersecurity, DevOps, Machine Learning, Data Analysis",Lucknow,BCA
Web Developer,TOYOTA KIRLOSKAR MOTOR PRIVATE LIMITED,"Data Analysis, DevOps",Kolkata,B.Sc
Drilling Engineer,HINDUSTAN PETROLEUM CORPORATION LIMITED,"Pipeline Maintenance, Geology, Petroleum Engineering",Mumbai,B.Com
Machine Learning Engineer,MARUTI SUZUKI INDIA LIMITED,"JavaScript, Machine Learning, Java, Python",Remote,B.Tech
Data Analyst,CORTEVA AGRISCIENCE SEEDS PRIVATE LIMITED,"Cloud Computing, JavaScript, Python",Bangalore,BA
Product Manager,ABBOTT INDIA LIMITED,"Product Development, Distribution, Retail Management, Marketing",Chennai,PhD
Product Manager,PATANJALI FOODS LIMITED,"Supply Chain, Marketing, Retail Management",Chennai,BBA
Retail Manager,TATA CONSUMER PRODUCTS LIMITED,"Sales, Consumer Insights, Product Development",Delhi,B.Com
IT Support,COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,"Machine Learning, DevOps",Pune,B.Sc
Environmental Officer,JSW STEEL LIMITED,"Mineral Processing, Geology",Delhi,PhD
Machine Learning Engineer,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,"Data Analysis, Machine Learning, React",Mumbai,BBA
Hardware Engineer,BHARAT ELECTRONICS LIMITED,"Electronics Design, R&D, Circuit Design, Quality Control",Chennai,Diploma
IT Support,EICHER MOTORS LIMITED,"Python, Data Analysis",Chennai,BBA
IT Support,WHIRLPOOL OF INDIA LIMITED,"Java, Cloud Computing, Cybersecurity, React",Delhi,BA
